الرقم,الفئة,العربية,الأمهرية,النطق
4577,البريد,لم يتم التسليم بعد,እስካሁን አልደረሰም,إسكاهون ألديريسيم
4578,البريد,هل يمكنني التأمين عليه؟,ዋስትና መስጠት እችላለሁ?,واستينا ميسطوت إشِلاليهو؟
4579,البريد,كم هي رسوم التأمين؟,የዋስትና ክፍያው ስንት ነው?,يي واستينا كِفياو سِنت نيو؟
4580,البريد,أريد استلام بريدي,ፖስታዬን መቀበል እፈልጋለሁ,بوستايِيِن مِقيِبيل إفيليغاليهو
4581,البريد,هل يمكنني التحقق من صندوقي؟,ሳጥኔን ማየት እችላለሁ?,ساتْنيِن ماييت إشِلاليهو؟
4582,البريد,هل لديك بطاقات تهنئة؟,የእንኳን አደረሳችሁ ካርዶች አሉዎት?,يي إنكوان أديريساشوه كارْدُش ألووُت؟
4583,البريد,أين أختم هذه الرسالة؟,ይህንን ደብዳቤ የት ላሽመው?,يهِنِن ديبدابيه ييت لاشِمِو؟
4584,البريد,يجب أن يكون مختوماً,መታተም አለበት,ميتاتيم ألِبيت
4585,البريد,هل يعملون يوم السبت؟,ቅዳሜ ይሰራሉ?,قِدامِي يِسِرالو؟
4586,البريد,كم ساعة عملكم؟,የስራ ሰዓታችሁ ስንት ነው?,يي سِرا سيئاتاتشو سِنت نيو؟
4587,البريد,أنا أبحث عن ساعي البريد,የፖስታ ሰውን እየፈለግኩ ነው,يي بوستا سي وُن إيي فيليقْكو نيو
4588,البريد,هل يمكنني تغيير العنوان؟,አድራሻውን መቀየር እችላለሁ?,أدراشاوُن مِقييِر إشِلاليهو؟
4589,البريد,الرجاء تعبئة هذا النموذج,እባክህ ይህን ቅጽ ሙላ,إباكِه يِهِن قِص مُلا
4590,البريد,مكان التوقيع,የፊርማ ቦታ,يي فيرما بوتا
4591,البريد,هذا لـ (اسم الشخص),ይህ ለ... ነው,يِه لـ... نيو
4592,البريد,هل هناك جمارك؟,ጉምሩክ አለ?,غُمروك ألِه؟
4593,البريد,يجب دفع الجمارك,የጉምሩክ ክፍያ መክፈል አለብኝ,يي غُمروك كِفيا ميكفيل ألِبِني
4594,البريد,تم احتجاز الطرد,እሽጉ ተይዟል,إشِغو تِييَزوال
4595,البريد,ما هي المشكلة؟,ችግሩ ምንድን ነው?,شِگِرو مِندِن نيو؟
4596,البريد,أريد إيصالاً,ደረሰኝ እፈልጋለሁ,ديريسِييِن إفيليغاليهو
4597,البريد,هل يمكنني إرساله بالبريد الجوي؟,በአየር ፖስታ መላክ እችላለሁ?,بِأييِر بوستا ميلاك إشِلاليهو؟
4598,البريد,البريد الجوي أسرع,የአየር ፖስታ ፈጣን ነው,يي أييِر بوستا فيطان نيو
4599,البريد,هل تبيعون صناديق الشحن؟,የመላኪያ ሣጥኖች ትሸጣላችሁ?,يي ميلاكيا ساتِنُش تِشيطالاتشو؟
4600,البريد,هذه هدية,ይህ ስጦታ ነው,يِه سِطوتا نيو
4601,البريد,لا تكسر,እንዳይሰበር,إِنداي سِبير
4602,البريد,هل لديك قلم؟,እስክርቢቶ አለህ/ሽ?,إسكِربيتو ألِه/أليش؟
4603,البريد,أحتاج لملصق عنوان,የአድራሻ ተለጣፊ ያስፈልገኛል,يي أدراشا تيليطافي ياسفيليغينْيال
4604,البريد,يرجى ختم الطرد,እሽጉን እባክህ አትም,إشِغون إباكِه أتِم
4605,البريد,شكراً على مساعدتك,ስለ እርዳታህ አመሰግናለሁ,سِلي إِرِداتاه أميسِغِناليهو
4606,البريد,أنا أبحث عن قسم الطرود,የእሽግ ክፍሉን እየፈለግኩ ነው,يي إشِغ كِفِلوُن إيي فيليقْكو نيو
4607,البريد,الرسالة وصلت متأخرة,ደብዳቤው ዘግይቶ ደርሷል,ديبدابيو زيغييتو ديرسوال
4608,البريد,هل يمكنني استلام بريدي نيابة عن شخص آخر؟,ለሌላ ሰው ፖስታውን መቀበል እችላለሁ?,لِي ليلا سي و بوستاوُن مِقيِبيل إشِلاليهو؟
4609,البريد,أحتاج تفويضاً,ውክልና ያስፈልገኛል,وِكِلِنا ياسفيليغينْيال
4610,البريد,بريدي لا يصل,ፖስታዬ አይደርስም,بوستايِي أَي ديرسِم
4611,البريد,هل ضاع الطرد؟,እሽጉ ጠፍቷል?,إشِغو طِفتوال؟
4612,البريد,يجب أن تتصل بهم,እነሱን መደወል አለብህ,إنيسون مِديويل ألِبِه
4613,البريد,أين يمكنني تقديم شكوى؟,ቅሬታ የት ማቅረብ እችላለሁ?,قِريتا ييت ماقِريب إشِلاليهو؟
4614,البريد,هل يمكنكم البحث عنه؟,መፈለግ ትችላላችሁ?,ميفيلِغ تِشِلالاتشو؟
4615,البريد,أحتاج إلى تعويض,ካሳ ያስፈልገኛል,كاسا ياسفيليغينْيال
4616,البريد,هذا مخالف للقوانين,ይህ ሕገወጥ ነው,يِه حِغي وِط نيو
4617,البريد,أين هو مكتب الاستعلامات؟,የመረጃ ዴስክ የት ነው?,يي ميريجا دِسك ييت نيو؟
4618,البريد,هل تحتاج إلى بطاقة هويتي؟,መታወቂያዬን ያስፈልግዎታል?,مِتاويِقيايِيِن ياسفيليغِوُتال؟
4619,البريد,من فضلك، انتظر دورك,እባክህ ተራህን ጠብቅ,إباكِه تِراهِن طِبيق
4620,البريد,أنا في الطابور,በተራው ላይ ነኝ,بِتيراو لاي نيني
4621,البريد,أحتاج إلى ملء استمارة,ቅጽ መሙላት አለብኝ,قِص ميمولات ألِبِني
4622,البريد,ما هي تكلفة الصندوق السنوي؟,ዓመታዊ የሳጥን ክፍያ ስንት ነው?,عامِتاوي يي ساتِن كِفيا سِنت نيو؟
4623,البريد,أحتاج إلى إثبات الإرسال,የመላክ ማረጋገጫ እፈልጋለሁ,يي ميلاك مارِغاغيِچا إفيليغاليهو
4624,البريد,أريد ظرفاً كبيراً,ትልቅ ፖስታ እፈልጋለሁ,تِلِق بوستا إفيليغاليهو
4625,البريد,ضع الطابع في الزاوية,ቴምብሩን ጥግ ላይ አድርግ,تيمبِرون طِغ لاي أدرِغ
4626,البريد,هل يمكنني إرسال المال؟,ገንዘብ መላክ እችላለሁ?,غينزيب ميلاك إشِلاليهو؟
4627,البريد,تحويل مالي,የገንዘብ ዝውውር,يي غينزيب زِوِوِر
4628,البريد,ما هي حدود الوزن؟,የክብደት ገደቡ ስንት ነው?,يي كِبدِت غيديبو سِنت نيو؟
4629,البريد,هذا قابل للكسر,ይህ ይሰበራል,يِه يِسِبيِيرال
4630,البريد,الرجاء التعامل معه بحذر,እባክህ በጥንቃቄ ያዘው,إباكِه بِطِنقاقِي يازِو
4631,البريد,هل أحتاج إلى ختم جمركي؟,የጉምሩክ ማህተም ያስፈልገኛል?,يي غُمروك ماهتيم ياسفيليغينْيال؟
4632,البريد,كم يجب أن أدفع؟,ምን ያህል መክፈል አለብኝ?,مِني ياهِل ميكفيل ألِبِني؟
4633,البريد,هل يمكنكم تغليفه؟,ማሸግ ትችላላችሁ?,ماشِغ تِشِلالاتشو؟
4634,البريد,خدمة التوصيل المنزلي,የቤት አቅርቦት አገልግሎት,يي بيت أقِربوت أغِلگِلوت
4635,البريد,هل يوجد تأخير؟,መዘግየት አለ?,ميزيغيِيت ألِه؟
4636,البريد,عنوان المرسل,የላኪው አድራሻ,يي لاكيو أدراشا
4637,البريد,عنوان المستلم,የተቀባዩ አድራሻ,يي تِقيِبايو أدراشا
4638,البريد,أريد تغيير العنوان على الطرد,በእሽጉ ላይ ያለውን አድራሻ መለወጥ እፈልጋለሁ,بِإشِغو لاي ياليوُن أدراشا مِلي وِط إفيليغاليهو
4639,البريد,يرجى التحقق من الرمز البريدي,የፖስታ ኮዱን እባክህ አረጋግጥ,يي بوستا كودون إباكِه أرِغاغِط
4640,البريد,الرمز البريدي خاطئ,የፖስታ ኮዱ ስህተት ነው,يي بوستا كودو سِهتيت نيو
4641,البريد,أين موقعك بالضبط؟,በትክክል ቦታዎ የት ነው?,بِتِكِكِل بوتاو ييت نيو؟
4642,البريد,هل أنت وكيل بريد؟,የፖስታ ወኪል ነህ/ሽ?,يي بوستا وِكيل نِه/نيش؟
4643,البريد,هذه وثائق مهمة,እነዚህ አስፈላጊ ሰነዶች ናቸው,إنِزيه أسفيلاغي سيني دُش ناتشو
4644,البريد,لا تطوِ الرسالة,ደብዳቤውን አታጥፈው,ديبدابيوُن أتاطفي و
4645,البريد,أريد تأكيد الاستلام,ደረሰኝ ማረጋገጫ እፈልጋለሁ,ديريسِييِن مارِغاغيِچا إفيليغاليهو
4646,البريد,سأعود غداً,ነገ እመለሳለሁ,نيغي إميليساليهو
4647,البريد,هل يمكنني إرسال هذا إلى الخارج؟,ይህንን ወደ ውጭ መላክ እችላለሁ?,يهِنِن ويدي وِچ ميلاك إشِلاليهو؟
4648,البريد,القيود الجمركية,የጉምሩክ ገደቦች,يي غُمروك غيديبُش
4649,البريد,هل يمكنني إعادة توجيه البريد؟,ፖስታውን አቅጣጫ መቀየር እችላለሁ?,بوستاوُن أقِطّاشا مِقييِر إشِلاليهو؟
4650,البريد,"هل لديك خدمة ""بريد سريع""؟","""ፈጣን መልእክት"" አገልግሎት አለዎት?","""فيطان ميليكت"" أغِلگِلوت ألووُت؟"
4651,البريد,أريد شراء طوابع بالجملة,በጅምላ ቴምብሮችን መግዛት እፈልጋለሁ,بِجِملا تيمبِرُش مِغزات إفيليغاليهو
4652,البريد,هل البريد مؤمن؟,ፖስታው ዋስትና አለው?,بوستاو واستينا ألِو؟
4653,البريد,من فضلك، ضع هذا على الميزان,እባክህ ይህንን በሚዛን ላይ አድርግ,إباكِه يهِنِن بِـميزان لاي أدرِغ
4654,البريد,ما هو وقت التسليم المقدر؟,የሚጠበቀው የመላኪያ ጊዜ ስንት ነው?,يي ميتِبيقي و يي ميلاكيا غيزي سِنت نيو؟
4655,البريد,لم أستلم إشعاراً,ማስታወቂያ አልደረሰኝም,ماستا وِقيا ألديريسينيِم
4656,البريد,هل يمكنكم تركها عند الجار؟,ጎረቤት ዘንድ መተው ትችላላችሁ?,غورِبيت زيند مِتي و تِشِلالاتشو؟
4657,البريد,يجب تسليمها شخصياً,በግል መላክ አለበት,بِغِل ميلاك ألِبيت
4658,البريد,هل يمكنني استلامها لاحقاً؟,በኋላ መቀበል እችላለሁ?,بِهْوالا مِقيِبيل إشِلاليهو؟
4659,البريد,سأحضر لإلتقاطها,ለመውሰድ እመጣለሁ,لِيمِ وِسِد إِمِطاليهو
4660,البريد,لا يوجد طوابع كافية,በቂ ቴምብሮች የሉም,بَقي تيمبِرُش ييلوم
4661,البريد,كم طابع أحتاج؟,ስንት ቴምብሮች ያስፈልገኛል?,سِنت تيمبِرُش ياسفيليغينْيال؟
4662,البريد,أحتاج صندوق بريد جديد,አዲስ የፖስታ ሳጥን እፈልጋለሁ,أديس يي بوستا ساتِن إفيليغاليهو
4663,البريد,أين أضع البريد الصادر؟,የሚወጣውን ፖስታ የት ላድርገው?,يي ميوِطاوُن بوستا ييت لادرِغِو؟
4664,البريد,هل يمكنني إرسال بريد سريع دولي؟,ዓለም አቀፍ ፈጣን ፖስታ መላክ እችላለሁ?,عاليم أقيَف فيطان بوستا ميلاك إشِلاليهو؟
4665,البريد,تكلفة الشحن مرتفعة,የመላኪያ ዋጋው ውድ ነው,يي ميلاكيا واغاو وِد نيو
4666,البريد,هل هناك خصم؟,ቅናሽ አለ?,قِناش ألِه؟
4667,البريد,يجب أن يكون مغلقاً بإحكام,በጥብቅ መዘጋት አለበት,بِطِبق ميزيغات ألِبيت
4668,البريد,هذا خفيف جداً,ይህ በጣም ቀላል ነው,يِه بيتام قِلال نيو
4669,البريد,أين هو قسم الطرود المفقودة؟,የጠፉ እሽጎች ክፍል የት ነው?,يي طِفو إشِغُش كِفل ييت نيو؟
4670,البريد,هل يمكنني إرسال شكوى عبر الإنترنت؟,በመስመር ላይ ቅሬታ መላክ እችላለሁ?,بِمِسمِر لاي قِريتا ميلاك إشِلاليهو؟
4671,البريد,أحتاج دليل البريد,የፖስታ መመሪያ እፈልጋለሁ,يي بوستا ميمي رِيا إفيليغاليهو
4672,البريد,هل يمكنني استئجار صندوق بريد؟,የፖስታ ሳጥን መከራየት እችላለሁ?,يي بوستا ساتِن ميكيراييت إشِلاليهو؟
4673,البريد,ما هي طريقة الدفع المفضلة؟,ተመራጭ የክፍያ ዘዴ ምንድን ነው?,تيميراچ يي كِفيا زي دي مِندِن نيو؟
4674,البريد,أعطني التكلفة الإجمالية,አጠቃላይ ወጪውን ንገረኝ,أطيِقِلاي وِچِي وُن نِغِريِني
4675,البريد,هل يمكنني إرسال كتب؟,መጽሐፎችን መላክ እችላለሁ?,مِصِحافُش ميلاك إشِلاليهو؟
4676,البريد,خدمة البريد العادية,መደበኛ የፖስታ አገልግሎት,مِديبي نْيا يي بوستا أغِلگِلوت
4677,البريد,الطرود الكبيرة,ትላልቅ እሽጎች,تِلالِق إشِغُش
4678,البريد,هل تحتاج إلى إقرار؟,እውቅና ያስፈልገዋል?,إِ وِقِنا ياسفيليغِوال؟
4679,البريد,تمت معالجة البريد,ፖስታው ተሰርቷል,بوستاو تيسيِرتوال
4680,البريد,أنتظر الرد,ምላሽ እየጠበቅኩ ነው,مِلاش إيي تيبِقْكو نيو
4681,البريد,يرجى ملء تفاصيل المرسل,እባክህ የላኪውን ዝርዝር ሙላ,إباكِه يي لاكيوُن زِرِزِر مُلا
4682,البريد,الرجاء إغلاق صندوق البريد,የፖስታ ሳጥኑን እባክህ ዝጋ,يي بوستا ساتِنوُن إباكِه زِغا
4683,البريد,هل أنت متأكد؟,እርግጠኛ ነህ/ሽ?,إرِغِطي نْيا نِه/نيش؟
4684,البريد,هذه هي الوثائق المطلوبة,እነዚህ የተጠየቁ ሰነዶች ናቸው,إنِزيه ييتي طِييِقو سيني دُش ناتشو
4685,البريد,أحتاج إلى تغيير عنواني المؤقت,ጊዜያዊ አድራሻዬን መቀየር አለብኝ,غيزيياوي أدراشايِيِن مِقييِر ألِبِني
4686,البريد,تم التسليم بنجاح,በተሳካ ሁኔታ ደርሷል,بِتيساكا حونيتا ديرسوال
4687,البريد,هذه هي بطاقتي,ይህ የእኔ ካርድ ነው,يِه يي إِني كارد نيو
4688,البريد,هل يمكنني استلام البريد العائد؟,የተመለሰውን ፖስታ መቀበል እችላለሁ?,ييتي ميميليسي وُن بوستا مِقيِبيل إشِلاليهو؟
4689,البريد,أين أستلم الإيصالات؟,ደረሰኞችን የት ልውሰድ?,ديريسِييِنُش ييت لِ و سِد؟
4690,البريد,هل لديك خدمة توصيل سريعة؟,ፈጣን የማድረስ አገልግሎት አለዎት?,فيطان يي مادِرِس أغِلگِلوت ألووُت؟
4691,البريد,لدي بريد كثير,ብዙ ፖስታ አለኝ,بِزو بوستا ألِييِني
4692,البريد,أين يمكنني وضع الطوابع؟,ቴምብሮችን የት ላስቀምጥ?,تيمبِرُش ييت لأسقِمِط؟
4693,البريد,هل يمكنكم إرسالها إلى فندق؟,ወደ ሆቴል መላክ ትችላላችሁ?,ويدي هوتيل ميلاك تِشِلالاتشو؟
4694,البريد,كم هو الحد الأقصى للوزن؟,ከፍተኛው ክብደት ስንት ነው?,كِفتِيماو كِبدِت سِنت نيو؟
4695,البريد,أحتاج إلى رقم هاتف,የስልክ ቁጥር ያስፈልገኛል,يي سِلك قوتِر ياسفيليغينْيال
4696,البريد,سأدفع الرسوم,ክፍያውን እከፍላለሁ,كِفياوون إِكيفاليهو
4697,البريد,هل تعملون اليوم؟,ዛሬ ትሰራላችሁ?,زاري تِسِرالاتشو؟
4698,البريد,البريد قادم,ፖስታው እየመጣ ነው,بوستاو إيي مِطا نيو
4699,البريد,لا أرى اسمي,ስሜን አላይም,سِميِن ألايِم
4700,البريد,يرجى التحقق مرة أخرى,እባክህ እንደገና አረጋግጥ,إباكِه إِنديغينا أرِغاغِط
4701,البريد,أشكرك على صبرك,ስለ ትዕግስትህ አመሰግናለሁ,سِلي تِيئِگِستيه أميسِغِناليهو
4702,البريد,هل تحتاج إلى إثبات هوية؟,የማንነት ማረጋገጫ ያስፈልገዋል?,يي مانِنِت مارِغاغيِچا ياسفيليغِوال؟
4703,البريد,هذا هو بريد العمل,ይህ የስራ ፖስታ ነው,يِه يي سِرا بوستا نيو
4704,البريد,أين هي كاونتر خدمة العملاء؟,የደንበኞች አገልግሎት መስጫ የት ነው?,يي دِنيِبِي نْيُش أغِلگِلوت مِسِچا ييت نيو؟
4705,البريد,هذا لبريدي الخاص,ይህ ለግል ፖስታዬ ነው,يِه لِغِل بوستايِي نيو
4706,البريد,ما هي ساعات الإغلاق؟,የመዝጊያ ሰዓቶች ስንት ነው?,يي مِزغِيا سيئاتُش سِنت نيو؟
4707,البريد,هل يمكنني استخدام صندوقي الآن؟,ሳጥኔን አሁን መጠቀም እችላለሁ?,ساتْنيِن أهون ميتِقيم إشِلاليهو؟
4708,البريد,البريد الإلكتروني أسرع,ኢሜል ፈጣን ነው,إيميل فيطان نيو
4709,البريد,هل يمكنكم إرسال رسالة نصية؟,የጽሑፍ መልእክት መላክ ትችላላችሁ?,يي صِحوف ميليكت ميلاك تِشِلالاتشو؟
4710,البريد,أحتاج إلى تظرف,ፖስታ ማስገቢያ እፈልጋለሁ,بوستا ماسغِبييا إفيليغاليهو
4711,البريد,"يرجى وضع علامة ""عاجل""","""አስቸኳይ"" የሚል ምልክት አድርግ","""أسچِكواي"" يي ميل مِلكِت أدرِغ"
4712,البريد,هل يمكنني أن أدفع بالبطاقة؟,በካርድ መክፈል እችላለሁ?,بِكارد ميكفيل إشِلاليهو؟
4713,البريد,هذا هو الختم,ማህተሙ ይሄ ነው,ماهتِمو ييه نيو
4714,البريد,أين أجد آلة الطوابع؟,የቴምብር ማሽኑን የት ላገኘው?,يي تيمبر ماشينون ييت لاغينِييو؟
4715,البريد,هل لديك أي تغيير؟,ለዋጭ አለህ/ሽ?,لِواچ ألِه/أليش؟
4716,البريد,البريد جاهز للإرسال,ፖስታው ለመላክ ዝግጁ ነው,بوستاو لِيمِلاك زِگِجو نيو
4717,البريد,أتمنى يوماً سعيداً,መልካም ቀን ይሁንልህ,مِلكام قين ييهونلِه
4718,الطوارئ,ساعدوني!,እርዱኝ!,إردويني!
4719,الطوارئ,إنها حالة طارئة.,አስቸኳይ ጊዜ ነው,أشّكواي غيزي نيو
4720,الطوارئ,اتصل بالإسعاف.,አምቡላንስ ይጥሩ,أمبولانس يطرو
4721,الطوارئ,أنا بحاجة إلى طبيب.,ሐኪም ያስፈልገኛል,حاكيم ياسفليغينال
4722,الطوارئ,أين أقرب مستشفى؟,በአቅራቢያ ሆስፒታል የት አለ?,بَأَقْرابيا هوسبيتال يِت ألَ؟
4723,الطوارئ,وقع حادث سيارة.,የመኪና አደጋ ደረሰ,يِماكينا أدَغا دَرَسَ
4724,الطوارئ,هناك حريق!,እሳት!,إسات!
4725,الطوارئ,أين مخرج الطوارئ؟,የድንገተኛ መውጫ የት ነው?,يِدينغيِتِنيَا مَوُتّشَا يِت نِو؟
4726,الطوارئ,أسرع!,ፍጠን!,فِطَن!
4727,الطوارئ,أنا أتألم بشدة.,በጣም ያመኛል,بِتام يامِنيَال
4728,الطوارئ,لا أستطيع التنفس.,መተንፈስ አልችልም,مِتِنفِس ألتّشيليم
4729,الطوارئ,أشعر بالدوار.,ማዞር ይሰማኛል,مازور يِسِمَانيَال
4730,الطوارئ,نزيف حاد.,ከፍተኛ ደም መፍሰስ,كَفتِغنا دَم مِفِسِس
4731,الطوارئ,فقد وعيه.,ንቃቱን አጣ,نِقَاتون أَطا
4732,الطوارئ,أحتاج مساعدة طبية.,የሕክምና እርዳታ እፈልጋለሁ,يِحِكمِنّا إرْداتا إفَلّغَالُو
4733,الطوارئ,أين تقع الصيدلية؟,ፋርማሲው የት ነው?,فارماسي و يِت نِو؟
4734,الطوارئ,تعال إلى هنا بسرعة.,በፍጥነት እዚህ ና,بِفِطنِت إزّي نا
4735,الطوارئ,أرجوك لا تتحرك.,እባክህ አትንቀሳቀስ,إباكِه أتنِقساقِس
4736,الطوارئ,أنا ضائع.,ጠፍቻለሁ,طَفيتّشَاليهو
4737,الطوارئ,أحتاج إلى ماء.,ውኃ ያስፈልገኛል,وُحا ياسفليغينَال
4738,الطوارئ,أين مكتب الشرطة؟,ፖሊስ ጣቢያ የት ነው?,بوليس طابيا يِت نِو؟
4739,الطوارئ,لقد سُرقت.,ተዘረፍኩ,تِزِرِفكو
4740,الطوارئ,شخص ما يتبعني.,አንድ ሰው እየተከተለኝ ነው,أند سَو إيِتِكِتِليني نِو
4741,الطوارئ,أين الهاتف؟,ስልኩ የት ነው?,سِلكو يِت نِو؟
4742,الطوارئ,كم رقم الطوارئ؟,የድንገተኛ ቁጥር ስንት ነው?,يِدينغيِتِنيَا قوطِر سنت نِو؟
4743,الطوارئ,أعطني يدك.,እጅህን ስጠኝ,إجّهِن سِطِني
4744,الطوارئ,لا تخف.,አትፍራ,أتفِرا
4745,الطوارئ,سأكون معك.,ካንተ ጋር እሆናለሁ,كانتَ غار إهونالِحو
4746,الطوارئ,ماذا حدث؟,ምን ተፈጠረ?,مِن تِفِطِري؟
4747,الطوارئ,أنا جريح.,ቆስያለሁ,قوصيَالِحو
4748,الطوارئ,قدمي مكسورة.,እግሬ ተሰብሯል,إگري تِسِبروال
4749,الطوارئ,يدي محروقة.,እጄ ተቃጥሏል,إجّي تِقاتّولال
4750,الطوارئ,هل لديك حساسية؟,አለርጂክ አለብህ?,ألِرجيِك ألِبِه؟
4751,الطوارئ,أحتاج إلى حقنة.,መርፌ ያስፈልገኛል,مِرفي ياسفليغينَال
4752,الطوارئ,هل تتناول أدوية؟,መድሃኒት ትወስዳለህ?,مِدحانيت تِوِسِدالِهو؟
4753,الطوارئ,أين أقرب مأوى؟,በአቅራቢያ መጠለያ የት አለ?,بَأَقْرابيا مِطِتِلَيا يِت ألَ؟
4754,الطوارئ,إنه يتقيأ.,እያስመለሰው ነው,إياسمِلِسِو نِو
4755,الطوارئ,درجة حرارته مرتفعة.,ትኩሳት አለበት,تِكوسات ألِبِت
4756,الطوارئ,أشعر بالبرد.,ቅዝቃዜ ይሰማኛል,قِزقازي يِسِمَانيَال
4757,الطوارئ,أحتاج إلى بطانية.,ብርድ ልብስ ያስፈልገኛል,بِرد لِبس ياسفليغينَال
4758,الطوارئ,الآن توقف.,አሁን አቁም,أهون أقوم
4759,الطوارئ,أرجو أن تهدأ.,እባክህ ተረጋጋ,إباكِه تِرِغاغا
4760,الطوارئ,ابقى مستيقظاً.,ነቅተህ ቆይ,نِقتِه قّوي
4761,الطوارئ,أحتاج إلى نقل دم.,ደም መውሰድ ያስፈልገኛል,دَم مِوسِد ياسفليغينَال
4762,الطوارئ,هل لديك أي علامات؟,ምልክቶች አሉብህ?,مِلكِتوتّش ألوبِه؟
4763,الطوارئ,أنا مدين لك.,ዕዳ አለብኝ,إدا ألِبِني
4764,الطوارئ,أغلق الباب.,በሩን ዝጋ,بَرون زِغا
4765,الطوارئ,اكسر النافذة.,መስኮቱን ስበር,مِسكوتون سِبِر
4766,الطوارئ,هذه منطقة خطرة.,አደገኛ ቦታ ነው,أدِغِنا بوتا نِو
4767,الطوارئ,لا تلمس شيئاً.,ምንም ነገር አትንካ,مِنِم نِغِر أتنِكا
4768,الطوارئ,لقد رأيت الحادث.,አደጋውን አይቻለሁ,أدِغَاون أييتّشَالِحو
4769,الطوارئ,هل هناك شهود؟,ምስክሮች አሉ?,مِسكِروتش ألّو؟
4770,الطوارئ,هل الطريق مسدود؟,መንገዱ ተዘግቷል?,مِنگِدو تِزِگتوال؟
4771,الطوارئ,أنا خائف جداً.,በጣም ፈርቻለሁ,بِتام فِرتّشَالِحو
4772,الطوارئ,أين يمكنني الاختباء؟,የት መደበቅ እችላለሁ?,يِت مِدِبِق إتّشِلَالِحو؟
4773,الطوارئ,احتاج إلى حماية.,ጥበቃ እፈልጋለሁ,طِبِقا إفَلّغَالُو
4774,الطوارئ,هذا تهديد.,ይህ ማስፈራሪያ ነው,يِه ماسفِراريا نِو
4775,الطوارئ,لا تطلق النار!,አትተኩስ!,أتتِكوس!
4776,الطوارئ,إنه مجرم.,ወንጀለኛ ነው,وِنجِليَنا نِو
4777,الطوارئ,علينا المغادرة الآن.,አሁን መሄድ አለብን,أهون مِهيد ألِبِن
4778,الطوارئ,هل هناك تسرب غاز؟,የጋዝ ፍንጣቂ አለ?,يِغاز فِنطاقي ألَ؟
4779,الطوارئ,الكهرباء مقطوعة.,መብራት ጠፍቷል,مِبرات طِفّتوال
4780,الطوارئ,هناك دخان.,ጭስ አለ,تّشيس ألَ
4781,الطوارئ,أشعر بالاختناق.,ታፍኜአለሁ,تافِنيَالِحو
4782,الطوارئ,أين السلم؟,መሰላሉ የት ነው?,مِسِلّالو يِت نِو؟
4783,الطوارئ,انزل بسرعة.,በፍጥነት ውረድ,بِفِطنِت وُرِد
4784,الطوارئ,أحتاج إلى مسعف.,ፓራሜዲክ ያስፈልገኛል,باراميديك ياسفليغينَال
4785,الطوارئ,متى وصلوا؟,መቼ ደረሱ?,مِتّشي دِرِسو؟
4786,الطوارئ,هل سمعت الانفجار؟,ፍንዳታውን ሰማህ?,فِندَاتَون سِماح؟
4787,الطوارئ,السقف ينهار.,ጣሪያው እየፈረሰ ነው,طارياو إيِفِرِسِو نِو
4788,الطوارئ,ابتعد عن الحائط.,ከግድግዳው ራቅ,كِگِدوَاو راق
4789,الطوارئ,هذا المكان غير آمن.,ይህ ቦታ ደህንነቱ የተጠበቀ አይደለም,يِه بوتا دِهنِنِتو يِتِطِبِقَ أيدِلِم
4790,الطوارئ,أعطني هاتفك.,ስልክህን ስጠኝ,سِلكِهِن سِطِني
4791,الطوارئ,سأطلب المساعدة.,እርዳታ እጠይቃለሁ,إرْداتا إطَيّقالِحو
4792,الطوارئ,أنا هنا وحدي.,እኔ ብቻዬን ነኝ,إني بِتّشَايّن نِني
4793,الطوارئ,أين كل الناس؟,ሁሉም ሰው የት ነው?,هولوم سَو يِت نِو؟
4794,الطوارئ,لا تتحرك مطلقاً.,በፍጹም አትንቀሳቀስ,بِفِصوم أتنِقساقِس
4795,الطوارئ,أحضر لي الماء.,ውኃ አምጣልኝ,وُحا أمتالِني
4796,الطوارئ,ضعها هنا.,እዚህ አስቀምጣት,إزّي أسقِمطات
4797,الطوارئ,هل أنت فاقد الوعي؟,ንቃተ-ህሊና አጥተሃል?,نِقاتِ-حِلينا أطّتَهال؟
4798,الطوارئ,إنه يعاني من صدمة.,ድንጋጤ ውስጥ ነው,دِنگاطي وُست نِو
4799,الطوارئ,أحتاج إلى شاش.,ፋሻ ያስፈልገኛል,فاشا ياسفليغينَال
4800,الطوارئ,هذا مؤلم جداً.,ይህ በጣም ያማል,يِه بِتام يامال
4801,الطوارئ,هل لديك طقم إسعافات أولية؟,የመጀመሪያ እርዳታ መስጫ አለህ?,يِمِجَمِريا إرْداتا مِسّتّشا ألِهو؟
4802,الطوارئ,يجب أن نرفع ساقه.,እግሩን ከፍ ማድረግ አለብን,إگْروُن كِف مَدرِگ ألِبِن
4803,الطوارئ,ضع الثلج عليه.,በረዶ አስቀምጥበት,بَرِدو أسقِمطِبِت
4804,الطوارئ,هل أنت مريض بالسكري؟,የስኳር ህመምተኛ ነህ?,يِسّكوار حِمِمتِنيَا نِه؟
4805,الطوارئ,أنا مصاب بالربو.,የአስም በሽታ አለብኝ,يِأسم بِشِتا ألِبِني
4806,الطوارئ,أعطني الدواء.,መድሃኒቱን ስጠኝ,مِدحانيتون سِطِني
4807,الطوارئ,أين بطاقة هويتك؟,መታወቂያህ የት ነው?,مِتاوِقيَاك يِت نِو؟
4808,الطوارئ,ما اسمك؟,ስምህ ማን ነው?,سمِك مان نِو؟
